"Season","Half","Conference","Division","Team_ID","Team_Name","Playoffs","GP","W","L","OL","T","PTS","PTS_Pct","GF","GA","SRS","SOS","RPt_Pct","ROW","RW","RgRec","RgPt_Pct"
1918,"First",NA,NA,"MTL","Montreal Canadiens",FALSE,"14","10","4",NA,"0","20",".714",NA,NA,NA,NA,NA,NA,NA,NA,NA
1918,"First",NA,NA,"TRA","Toronto Arenas",FALSE,"14","8","6",NA,"0","16",".571",NA,NA,NA,NA,NA,NA,NA,NA,NA
1918,"First",NA,NA,"OTS","Ottawa Senators",FALSE,"14","5","9",NA,"0","10",".357",NA,NA,NA,NA,NA,NA,NA,NA,NA
1918,"First",NA,NA,"OTT","Ottawa Senators",FALSE,"14","5","9",NA,"0","10",".357",NA,NA,NA,NA,NA,NA,NA,NA,NA
1918,"First",NA,NA,"MTW","Montreal Wanderers",FALSE,"6","1","5",NA,"0","2",".167",NA,NA,NA,NA,NA,NA,NA,NA,NA
1918,"Second",NA,NA,"TRA","Toronto Arenas",FALSE,"8","5","3",NA,"0","10",".625",NA,NA,NA,NA,NA,NA,NA,NA,NA
1918,"Second",NA,NA,"OTS","Ottawa Senators",FALSE,"8","4","4",NA,"0","8",".500",NA,NA,NA,NA,NA,NA,NA,NA,NA
1918,"Second",NA,NA,"OTT","Ottawa Senators",FALSE,"8","4","4",NA,"0","8",".500",NA,NA,NA,NA,NA,NA,NA,NA,NA
1918,"Second",NA,NA,"MTL","Montreal Canadiens",FALSE,"8","3","5",NA,"0","6",".375",NA,NA,NA,NA,NA,NA,NA,NA,NA
1919,"First",NA,NA,"MTL","Montreal Canadiens",FALSE,"10","7","3",NA,"0","14",".700",NA,NA,NA,NA,NA,NA,NA,NA,NA
1919,"First",NA,NA,"OTS","Ottawa Senators",FALSE,"10","5","5",NA,"0","10",".500",NA,NA,NA,NA,NA,NA,NA,NA,NA
1919,"First",NA,NA,"OTT","Ottawa Senators",FALSE,"10","5","5",NA,"0","10",".500",NA,NA,NA,NA,NA,NA,NA,NA,NA
1919,"First",NA,NA,"TRA","Toronto Arenas",FALSE,"10","3","7",NA,"0","6",".300",NA,NA,NA,NA,NA,NA,NA,NA,NA
1919,"Second",NA,NA,"OTS","Ottawa Senators",FALSE,"8","7","1",NA,"0","14",".875",NA,NA,NA,NA,NA,NA,NA,NA,NA
1919,"Second",NA,NA,"OTT","Ottawa Senators",FALSE,"8","7","1",NA,"0","14",".875",NA,NA,NA,NA,NA,NA,NA,NA,NA
1919,"Second",NA,NA,"MTL","Montreal Canadiens",FALSE,"8","3","5",NA,"0","6",".375",NA,NA,NA,NA,NA,NA,NA,NA,NA
1919,"Second",NA,NA,"TRA","Toronto Arenas",FALSE,"8","2","6",NA,"0","4",".250",NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,"First",NA,NA,"OTS","Ottawa Senators",FALSE,"12","9","3",NA,"0","18",".750",NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,"First",NA,NA,"OTT","Ottawa Senators",FALSE,"12","9","3",NA,"0","18",".750",NA,NA,NA,NA,NA,NA,NA,NA,NA
